day,station,code,min_delay,min_gap,bound,line,vehicle,day_month,month,hour,min,at_station,day_indexed,code_indexed,bound_indexed,line_indexed,station_indexed,station_w2v,features,scaled_features,station_w2v_vector,features_w2v,scaled_features_w2v
Monday,mccowan station,ERPR,10,15,N,SRT,3003,2,1,22,43,1,4.0,65.0,1.0,2.0,23.0,"[0, 0, 30, 1]","[15.0,3003.0,2.0,1.0,22.0,43.0,1.0,4.0,65.0,1.0,2.0,23.0]","[0.375,0.48545101842871,0.047619047619047616,0.5,0.9565217391304348,0.7288135593220338,0.5,0.6666666666666666,0.4220779220779221,0.25,0.6666666666666666,0.31081081081081086]","[0.0,0.0,30.0,1.0]","[0.0,0.0,30.0,1.0,15.0,3003.0,2.0,1.0,22.0,43.0,1.0,4.0,65.0,1.0,2.0]","[0.0,0.0,0.35064935064935066,0.5,0.375,0.48545101842871,0.047619047619047616,0.5,0.9565217391304348,0.7288135593220338,0.5,0.6666666666666666,0.4220779220779221,0.25,0.6666666666666666]"
Monday,highway 407 station,SUDP,12,18,N,YU,5526,2,1,2,30,1,4.0,0.0,1.0,0.0,49.0,"[0, 54, 55, 1]","[18.0,5526.0,2.0,1.0,2.0,30.0,1.0,4.0,0.0,1.0,0.0,49.0]","[0.45,0.8933074684772067,0.047619047619047616,0.5,0.08695652173913043,0.5084745762711864,0.5,0.6666666666666666,0.0,0.25,0.0,0.6621621621621622]","[0.0,54.0,55.0,1.0]","[0.0,54.0,55.0,1.0,18.0,5526.0,2.0,1.0,2.0,30.0,1.0,4.0,0.0,1.0,0.0]","[0.0,0.6585365853658537,0.6753246753246753,0.5,0.45,0.8933074684772067,0.047619047619047616,0.5,0.08695652173913043,0.5084745762711864,0.5,0.6666666666666666,0.0,0.25,0.0]"
Monday,islington station,MUPAA,3,7,W,BD,5031,2,1,9,26,1,4.0,1.0,2.0,1.0,38.0,"[0, 0, 42, 1]","[7.0,5031.0,2.0,1.0,9.0,26.0,1.0,4.0,1.0,2.0,1.0,38.0]","[0.17500000000000002,0.8132880698351116,0.047619047619047616,0.5,0.3913043478260869,0.4406779661016949,0.5,0.6666666666666666,0.006493506493506494,0.5,0.3333333333333333,0.5135135135135136]","[0.0,0.0,42.0,1.0]","[0.0,0.0,42.0,1.0,7.0,5031.0,2.0,1.0,9.0,26.0,1.0,4.0,1.0,2.0,1.0]","[0.0,0.0,0.5064935064935066,0.5,0.17500000000000002,0.8132880698351116,0.047619047619047616,0.5,0.3913043478260869,0.4406779661016949,0.5,0.6666666666666666,0.006493506493506494,0.5,0.3333333333333333]"
Monday,wilson station,TUNIP,5,9,S,YU,5636,2,1,9,49,1,4.0,17.0,0.0,0.0,6.0,"[0, 0, 17, 1]","[9.0,5636.0,2.0,1.0,9.0,49.0,1.0,4.0,17.0,0.0,0.0,6.0]","[0.225,0.9110895570643389,0.047619047619047616,0.5,0.3913043478260869,0.8305084745762712,0.5,0.6666666666666666,0.1103896103896104,0.0,0.0,0.08108108108108109]","[0.0,0.0,17.0,1.0]","[0.0,0.0,17.0,1.0,9.0,5636.0,2.0,1.0,9.0,49.0,1.0,4.0,17.0,0.0,0.0]","[0.0,0.0,0.18181818181818182,0.5,0.225,0.9110895570643389,0.047619047619047616,0.5,0.3913043478260869,0.8305084745762712,0.5,0.6666666666666666,0.1103896103896104,0.0,0.0]"
Monday,eglinton station,SUDP,3,9,S,YU,5556,2,1,10,18,1,4.0,0.0,0.0,0.0,3.0,"[0, 0, 7, 1]","[9.0,5556.0,2.0,1.0,10.0,18.0,1.0,4.0,0.0,0.0,0.0,3.0]","[0.225,0.89815712900097,0.047619047619047616,0.5,0.43478260869565216,0.3050847457627119,0.5,0.6666666666666666,0.0,0.0,0.0,0.04054054054054054]","[0.0,0.0,7.0,1.0]","[0.0,0.0,7.0,1.0,9.0,5556.0,2.0,1.0,10.0,18.0,1.0,4.0,0.0,0.0,0.0]","[0.0,0.0,0.05194805194805195,0.5,0.225,0.89815712900097,0.047619047619047616,0.5,0.43478260869565216,0.3050847457627119,0.5,0.6666666666666666,0.0,0.0,0.0]"
Monday,eglinton west station,SUO,5,9,N,YU,5456,2,1,12,2,1,4.0,3.0,1.0,0.0,35.0,"[0, 7, 3, 1]","[9.0,5456.0,2.0,1.0,12.0,2.0,1.0,4.0,3.0,1.0,0.0,35.0]","[0.225,0.8819915939217589,0.047619047619047616,0.5,0.5217391304347826,0.03389830508474576,0.5,0.6666666666666666,0.01948051948051948,0.25,0.0,0.472972972972973]","[0.0,7.0,3.0,1.0]","[0.0,7.0,3.0,1.0,9.0,5456.0,2.0,1.0,12.0,2.0,1.0,4.0,3.0,1.0,0.0]","[0.0,0.08536585365853659,0.0,0.5,0.225,0.8819915939217589,0.047619047619047616,0.5,0.5217391304347826,0.03389830508474576,0.5,0.6666666666666666,0.01948051948051948,0.25,0.0]"
Monday,museum station,SUDP,13,17,S,YU,5816,2,1,13,16,1,4.0,0.0,0.0,0.0,42.0,"[0, 0, 47, 1]","[17.0,5816.0,2.0,1.0,13.0,16.0,1.0,4.0,0.0,0.0,0.0,42.0]","[0.42500000000000004,0.9401875202069189,0.047619047619047616,0.5,0.5652173913043478,0.2711864406779661,0.5,0.6666666666666666,0.0,0.0,0.0,0.5675675675675675]","[0.0,0.0,47.0,1.0]","[0.0,0.0,47.0,1.0,17.0,5816.0,2.0,1.0,13.0,16.0,1.0,4.0,0.0,0.0,0.0]","[0.0,0.0,0.5714285714285715,0.5,0.42500000000000004,0.9401875202069189,0.047619047619047616,0.5,0.5652173913043478,0.2711864406779661,0.5,0.6666666666666666,0.0,0.0,0.0]"
Monday,kipling station,MUTO,6,10,E,BD,5142,2,1,14,36,1,4.0,15.0,3.0,1.0,2.0,"[0, 0, 12, 1]","[10.0,5142.0,2.0,1.0,14.0,36.0,1.0,4.0,15.0,3.0,1.0,2.0]","[0.25,0.8312318137730359,0.047619047619047616,0.5,0.6086956521739131,0.6101694915254238,0.5,0.6666666666666666,0.09740259740259741,0.75,0.3333333333333333,0.02702702702702703]","[0.0,0.0,12.0,1.0]","[0.0,0.0,12.0,1.0,10.0,5142.0,2.0,1.0,14.0,36.0,1.0,4.0,15.0,3.0,1.0]","[0.0,0.0,0.1168831168831169,0.5,0.25,0.8312318137730359,0.047619047619047616,0.5,0.6086956521739131,0.6101694915254238,0.5,0.6666666666666666,0.09740259740259741,0.75,0.3333333333333333]"
Monday,bloor yonge station,MUPAA,3,7,S,YU,5556,2,1,15,43,1,4.0,1.0,0.0,0.0,0.0,"[0, 5, 4, 1]","[7.0,5556.0,2.0,1.0,15.0,43.0,1.0,4.0,1.0,0.0,0.0,0.0]","[0.17500000000000002,0.89815712900097,0.047619047619047616,0.5,0.6521739130434783,0.7288135593220338,0.5,0.6666666666666666,0.006493506493506494,0.0,0.0,0.0]","[0.0,5.0,4.0,1.0]","[0.0,5.0,4.0,1.0,7.0,5556.0,2.0,1.0,15.0,43.0,1.0,4.0,1.0,0.0,0.0]","[0.0,0.06097560975609756,0.012987012987012988,0.5,0.17500000000000002,0.89815712900097,0.047619047619047616,0.5,0.6521739130434783,0.7288135593220338,0.5,0.6666666666666666,0.006493506493506494,0.0,0.0]"
Monday,warden station,PUSNT,5,9,E,BD,5135,2,1,16,31,1,4.0,109.0,3.0,1.0,17.0,"[0, 0, 27, 1]","[9.0,5135.0,2.0,1.0,16.0,31.0,1.0,4.0,109.0,3.0,1.0,17.0]","[0.225,0.8301002263174911,0.047619047619047616,0.5,0.6956521739130435,0.5254237288135594,0.5,0.6666666666666666,0.7077922077922079,0.75,0.3333333333333333,0.22972972972972974]","[0.0,0.0,27.0,1.0]","[0.0,0.0,27.0,1.0,9.0,5135.0,2.0,1.0,16.0,31.0,1.0,4.0,109.0,3.0,1.0]","[0.0,0.0,0.3116883116883117,0.5,0.225,0.8301002263174911,0.047619047619047616,0.5,0.6956521739130435,0.5254237288135594,0.5,0.6666666666666666,0.7077922077922079,0.75,0.3333333333333333]"
